gateway-edit-success,admin,"The Gateway with the IP :ip has been successfully updated.","The Gateway with the IP :ip has been successfully updated.",NULL,"La puerta de enlace con el IP :ip se ha actualizado correctamente ",,
gateway-exists-on-site-warning,admin,"There is already a Gateway on this Site, please edit it or create a new Site to add your new Gateway to.","There is already a Gateway on this Site, please edit it or create a new Site to add your new Gateway to.",,"Ya existe un Gateway en este lugar, por favor, editarlo o crear un nuevo lugar para agregar su nueva puerta de entrada a.",,
gateway-free-bandwidth-help,admin,"Use the slider to choose the number of Mb each guest can use for Free (you can use the curser keys once you have selected the slider).","Use the slider to choose the number of Mb each guest can use for Free (you can use the curser keys once you have selected the slider).",NULL,"Utilice el control deslizante para elegir el nmero de Mb cada usuario puede utilizar de forma gratuita.",,
gateway-incomplete-error,admin,"Your Gateway is incomplete, please edit your Gateway and save the details.","Your Gateway is incomplete, please edit your Gateway and save the details.",NULL,"Su acceso es incompleta , por favor, edite su Gateway y guardar los detalles .",,
gateway-increase-bandwidth-help,admin,"If a guest logs in via a social package this is the increase (in k) the guest will see (you can use the curser keys once you have selected the slider).","If a guest logs in via a social package this is the increase (in k) the guest will see (you can use the curser keys once you have selected the slider).",NULL,"Si un cliente se conecte a travs de un paquete social es el aumento ( en k ) el usuario ver .",,
gateway-ip-address-help,admin,"IP address for the Gateway NB. Changing this can stop the Site working because all AdJets are linked via the IP address.","IP address for the Gateway NB. Changing this can stop the Site working because all AdJets are linked via the IP address.",NULL,"Direccin IP de la puerta de enlace de NB . Cambiar esta puede detener el Lugar de trabajo porque todos AdJets estn vinculados a travs de la direccin IP.",,
gateway-not-registered-error,admin,"There is no Gateway registered, please register one.","There is no Gateway registered, please register one.",NULL,"No hay puerta de enlace registrado , por favor Regstrese uno .",,
gateway-password-help,admin,"Password for the Gateway","Password for the Gateway",NULL,"Contrasea para la puerta de enlace",,
gateway-port,admin,"Port for the Gateway","Port for the Gateway",NULL,"Puerto de la puerta de enlace",,
gateway-premium-bandwidth-help,admin,"Use the slider to choose the number of Mb each user can use for Premium (you can use the curser keys once you have selected the slider).","Use the slider to choose the number of Mb each user can use for Premium (you can use the curser keys once you have selected the slider).",NULL,"Utilice el control deslizante para elegir el nmero de Mb cada usuario puede utilizar para Premium .",,
gateway-premium-cost-help,admin,"Choose the cost (in your currency) of Premium.","Choose the cost (in your currency) of Premium.",NULL,"Elija el costo ( en su moneda ) de la prima . Vamos a almacenar GBP (  ) y el intercambio de su moneda , segn sea necesario",,
gateway-register,admin,"Register Gateway","Register Gateway",NULL,"Registro de puerta de enlace",,
gateway-register-desc,admin,"Enter the serial number of your new Gateway","Enter the serial number of your new Gateway",NULL,"Introduzca el nmero de serie de su nueva puerta de enlace",,
gateway-register-help,admin,"On the Gateway you will find a 12 digit serial denoted by a S/N. Type in the serial NOT including the / and anything following.","On the Gateway you will find a 12 digit serial denoted by a S/N. Type in the serial NOT including the / and anything following.",NULL,"En la puerta de enlace se encuentra una serie Diget 12 denotado por una S / N . Escriba la serie NO incluyendo la / y todo lo siguiente .",,
gateway-register-not-exist,admin,"This Gateway does not exist, please check the serial on the box. If you cannot register the Gateway please contact support.","This Gateway does not exist, please check the serial on the box. If you cannot register the Gateway please contact support.",NULL,"Esta puerta de enlace no existe, por favor marque la serie en la caja. Si no puede registrar la puerta de enlace por favor contactar con el soporte .",,
gateway-register-success,admin,"You have successfully registered the Gateway :serial to your site. Now check the details and edit where required.","You have successfully registered the Gateway :serial to your site. Now check the details and edit where required.",NULL,"Has registrado correctamente el Portal : serie a su lugar . Ahora compruebe los detalles y editar cuando sea necesario .",,
gateway-secure-redirect-help,admin,"Choose the site the guest will go to after they have logged in. Leave blank to take the guest back to the page they tried to access.","Choose the site the guest will go to after they have logged in. Leave blank to take the guest back to the page they tried to access.",NULL,"Has registrado correctamente el Portal : serie a su lugar . Ahora compruebe los detalles y editar cuando sea necesario .",,
gateway-select-help,admin,"Select gateways you wish to show this Adjet on","Select gateways you wish to show this Adjet on",,"Seleccione pasarelas, quieren mostrar esta Adjet en",,
gateway-settings,admin,"Gateway Settings",,,,,
gateway-timeout-help,admin,"Timeout for the Gateway","Timeout for the Gateway",NULL,"Tiempo de espera para la puerta de enlace",,
gateway-type-help,admin,"Choose the type of Gateway ","Choose the type of Gateway ",,,,
gateway-username-help,admin,"Username for the Gateway","Username for the Gateway",NULL,"Nombre de usuario para la pasarela",,
gateways,admin,Gateways,Gateways,NULL,Gateways,,
gateways-desc,admin,"Manage things like bandwidth and cost for this Site","Manage things like bandwidth and cost for this Site",,"Administrar cosas como el ancho de banda y el costo de este lugar",,
gender,admin,Gender,Gender,,,,
gender-female,admin,Female,Female,,,,
gender-male,admin,Male,Male,,,,
gender-other,admin,Other,Other,,,,
go,admin,Go,Go,,Ir,,
google-profile-image,admin,"Google profile image","Google profile image",,"Imagen de perfil Google",,
gravatar-profile-image,admin,"Gravatar image","Gravatar image",,"Imagen Gravatar",,
group,admin,Group,Group,NULL,Grupo,,
group-create-desc,admin,"Create a new group to add sites to","Create a new group to add sites to",,"Crear un nuevo grupo para agregar lugares a",,
group-create-success,admin,"The Group "":group"" was created successfully","The Group "":group"" was created successfully",,"El Grupo "":group"" se ha creado con exito",,
group-create-title,admin,"Create Group","Create Group",,"Crea Un Grupo",,
group-delete-sure-desc,admin,"Warning: This CANNOT be undone","Warning: This CANNOT be undone",,"Advertencia: Esto no puede ser deshecho",,
group-delete-sure-help,admin,"Are you sure you want to delete the Group "":group""?","Are you sure you want to delete the Group "":group""?",,"Â¿Seguro que quieres eliminar el grupo "":group""?",,
group-delete-sure-title,admin,"Delete Group","Delete Group",,"Eliminar grupo",,
group-desc,admin,"Group users and sites","Group users and sites",NULL,"Los usuarios del grupo y lugares",,
group-edit,admin,"Edit Group","Edit Group",,"Editar grupo",,
group-edit-desc,admin,"Change the name or the Sites in the Group","Change the name or the Sites in the Group",,"Cambie el nombre o las Sedes del Grupo",,
group-edit-success,admin,"The Group "":group"" was edited successfully","The Group "":group"" was edited successfully",,"El Grupo "":group"" fue editado con Ã©xito",,
group-name-help,admin,"Enter the name for this Group","Enter the name for this Group",,"Introduzca el nombre para este grupo",,
group-no-id,admin,"Sorry, you cannot edit that Group","Sorry, you cannot edit that Group",,"Lo sentimos, no se puede editar ese grupo",,
group-sites-help,admin,"Select the Sites this Group contains, these will be shown on the Sites list for any user in this group.","Select the Sites this Group contains, these will be shown on the Sites list for any user in this group.",,"Seleccione las Sedes Este grupo contiene , estos se mostraran en la lista Espacios para cualquier usuario en este grupo.",,
group-sites-placeholder,admin,"Search and click multiple sites","Search and click multiple sites",,"Busque y haga clic en varios lugares",,
group-status-desc,admin,"Change the status of a Group","Change the status of a Group",,"Cambiar el estado de un grupo",,
group-status-success,admin,"Changed the Group "":group"" status from :statusFrom to :statusTo","Changed the Group "":group"" status from :statusFrom to :statusTo",,"Se ha cambiado el grupo "":group"" estado de :statusFrom a :statusTo",,
group-status-sure-help,admin,"Are you sure you wish to change the status of the Group "":group"" from :statusFrom to :statusTo?","Are you sure you wish to change the status of the Group "":group"" from :statusFrom to :statusTo?",,"Â¿Seguro que desea cambiar el grupo de la Sede "":group"" de :statusFrom a :statusTo?",,
group-status-title,admin,"Group Status","Group Status",,"Estado del Grupo",,
groups,admin,Groups,Groups,NULL,Grupos,,
groups-desc,admin,"Table to manage the groups system wide","Table to manage the groups system wide",,"Tabla de gestionar el sistema de grupos de ancho",,
guest,admin,Guest,Guest,NULL,Invitado,,
guest-desc,admin,"with :type address :macOrEmail","with :type address :macOrEmail",,"con :type direccion :macOrEmail",,
guest-page-click,admin,"Click here to see this guests page","Click here to see this guests page",,"Haga clic aqui para ver esta pagina huespedes",,
guest-report-desc,admin,"Reports and charts for the guests that have been on the system","Reports and charts for the guests that have been on the system",,"Los informes y graficos para los clientes que han estado en el sistema",,
guests,admin,Guests,Guests,NULL,"Los huspedes",,
guests-desc,admin,"See the guests online now and the guests over all time","See the guests online now and the guests over all time",,"Ver los invitados en lnea ahora y los huspedes mayores de todos los tiempos",,
guests-max,admin,"Maximum guests","Maximum guests",,"Ocupacion maxima",,
guests-min,admin,"Minimum guests","Minimum guests",,"Invitados minimos",,
guests-new,admin,"New guests","New guests",,"Nuevos clientes",,
guests-new-count-desc,admin,"Number of new Guests in the last 24 hours vs 48 hours","Number of new Guests in the last 24 hours vs 48 hours",,"Nmero de nuevos clientes en las ultimas 24 horas vs ayer",,
guests-new-count-help,admin,"Number of new Guests in the last 24 hours vs 48 hours. This is not the number per day, but the number over the last 24 hours.","Number of new Guests in the last 24 hours vs 48 hours. This is not the number per day, but the number over the last 24 hours.",,"Numero de nuevos clientes en las ultimas 24 horas",,
guests-returning,admin,"Returning guests","Returning guests",,"Volviendo invitados",,
guests-returning-count-desc,admin,"Number returning of guests in the last 24 hours vs yesterday","Number returning of guests in the last 24 hours vs yesterday",,"Numero de regresar de personas en las ultimas 24 horas vs ayer",,
guests-returning-count-help,admin,"Number of returning Guests in the last 24 hours","Number of returning Guests in the last 24 hours",,"Numero de volver clientes en las ultimas 24 horas",,
hardware,admin,Hardware,Hardware,MatÃ‡Â¸riel,Hardware,,
height,admin,Height,Height,,,,
help,admin,Help,Help,Aidez-Moi,Ayuda,,
help-desc,admin,"See the system help","See the system help",,"Consulte el sistema de ayuda",,
host-name,admin,"Host name","Host name",,"Nombre de host",,
hour-of-day,admin,"Hour of day","Hour of day",,"Hora del dia",,
icon-choose-help,admin,"Make the :name option available to guests to boost their upload and download speed by the setting on the gateway page.","Make the :name option available to guests to boost their upload and download speed by the setting on the gateway page.",,"Hacer la opcion :name disposicin de los huespedes",,
icons,admin,Icons,Icons,,Iconos,,
id,admin,ID,ID,,,,
ids,admin,IDS,,,,,
image,admin,Image,Image,,,,
image-dimensions-exactly-error,admin,"Image dimensions must be :width px X :height px exactly","Image dimensions must be :width px X :height px exactly",,"Dimensiones de la imagen debe ser :width px X :height px exactamente",,
image-size,admin,"Image size","Image size",,,,
impressions,admin,Impressions,Impressions,,Impresiones,,
inactive,admin,Inactive,Inactive,,Inactivo,,
inactive-widgets,admin,"Inactive Widgets","Inactive Widgets",,,,
incorrect-username-password,admin,"Incorrect username or password for email","Incorrect username or password for email",,"Nombre de usuario o contrasena incorrecta para el correo :email",,
ip-address,admin,"IP Address","IP Address",NULL,"Direccin IP",,
ip-exists,admin,"The IP:ip already exists, please use a different one","The IP:ip already exists, please use a different one",NULL,"El IP :ip ya existe, por favor utilice una diferente",,
is,admin,is,is,,,,
is-deleted,admin,"is deleted!","is deleted!",,,,
key,admin,Key,Key,,Clave,,
label,admin,Label,Label,,,,
language,admin,Language,Language,,,,
language.help,admin,"Choose the language this user should see the system in","Choose the language this user should see the system in",NULL,"Elija el idioma de este usuario debe ver el sistema en",,
last-24-hours,admin,"Last 24 Hours","Last 24 Hours",,"Ultimos 24 Horas",,
last-24-hours-desc,admin,"Minimum and maximum number of guests in segments of 1 hour","Minimum and maximum number of guests in segments of 1 hour",,"Nmero mnimo y maximo de huespedes en segmentos de 1 hora",,
last-24-hours-help,admin,"Number of times any of your AdJets has been viewed. Click on the link for more information.","Number of times any of your AdJets has been viewed. Click on the link for more information.",,"Numero de veces que ninguna de sus AdJets se ha visto. Haga clic en el enlace para obtener mas informacion.",,
last-7-days,admin,"Last 7 days","Last 7 days",,"Ultimos 7 dias",,
last-7-days-number-guests,admin,"Last 7 Days number of guests","Last 7 Days number of guests",,"Ultimo numero 7 Dias de huespedes",,
last-calendar-month,admin,"Last calendar month","Last calendar month",,"Ultimo mes del calendario",,
last-login,admin,"Last login","Last login",,"Ultimo acceso",,
latency,admin,Latency,Latency,,"Estado latente",,
licences,admin,Licences,Licences,,,,
licenses,admin,Licenses,,,,,
linkedin-name,admin,"LinkedIn name","LinkedIn name",,"Nombre LinkedIn",,
linkedin-profile-image,admin,"LinkedIn profile image","LinkedIn profile image",,"Imagen de perfil en LinkedIn",,
loading,admin,Loading,Loading,,Cargando,,
loading-real-time,admin,"Loading real-time data","Loading real-time data",,"Cargando datos en tiempo real...",,
local,admin,Local,Local,Local,Local,,
locations,admin,Locations,Locations,,,,
logged-in-success,admin,"Logged in as :email","Logged in as :email",,"Conectado como :email",,
logged-out,admin,"Logged out","Logged out",,Desconectado,,
login,admin,Login,Login,,,,
login-button,admin,"Login button","Login button",,,,
login-button-desc,admin,"With premium login enabled free login can be disabled using the button below.","With premium login enabled free login can be disabled using the button below.",,,,
login-button-help,admin,"The Login button default is 'Login' but you can choose anything for this widget button as long as it's between 1 and 20 characters, donâ€™t forget the multilingual!","The Login button default is 'Login' but you can choose anything for this widget button as long as it's between 1 and 20 characters, donâ€™t forget the multilingual!",,,,
login-button-placeholder,admin,"Between 1 and 20 characters","Between 1 and 20 characters",,,,
login-description-help,admin,"The Login description default is 'To get on the internet hit the login button below' but you can choose anything for this widget description as long as it's between 1 and 100 characters, donâ€™t forget the multilingual!","The Login description default is 'To get on the internet hit the login button below' but you can choose anything for this widget description as long as it's between 1 and 100 characters, donâ€™t forget the multilingual!",,,,
login-description-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
login-override-content-desc,admin,"To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.","To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.",,,,
login-override-content-note,admin,"NB. To change the content on the predefined questions please create a custom question to override the predefined.","NB. To change the content on the predefined questions please create a custom question to override the predefined.",,,,
login-override-content-title,admin,"Override Login Content","Override Login Content",,,,
login-premium-desc,admin,"Adding Premium to the login widget will add a second button next to the login button saying Premium. This second button will allow the guest to login with a premium account.","Adding Premium to the login widget will add a second button next to the login button saying Premium. This second button will allow the guest to login with a premium account.",,,,
login-premium-help,admin,"Click Gateway on the left hand menu to change your Premium cost, bandwidth, etc.","Click Gateway on the left hand menu to change your Premium cost, bandwidth, etc.",,,,
login-premium-override-help,admin,"Change the text of the Premium button if it is enabled. If there is a cost associated with the Premium package the guest will be shown the payment options","Change the text of the Premium button if it is enabled. If there is a cost associated with the Premium package the guest will be shown the payment options",,,,
login-premium-override-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
login-title-help,admin,"The Login title default is '- Login -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, donâ€™t forget the multilingual!","The Login title default is '- Login -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, donâ€™t forget the multilingual!",,,,
login-title-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
logo,admin,Logo,Logo,,,,
logo-image-help,admin,"Any pages that need a logo will use this as default. Should not exceed :widthpx width by :heightpx height","Any pages that need a logo will use this as default. Should not exceed :widthpx width by :heightpx height",,,,
logo-options,admin,"Logo Options","Logo Options",,,,
logout,admin,Logout,Logout,DÃ‡Â¸connexion,"Cerrar Sesin",,
logs,admin,Logs,Logs,NULL,Registros,,
logs-desc,admin,"All logs to the system","All logs to the system",NULL,"Todos los registros en el sistema",,
look-feel,admin,"Look & feel","Look & feel",,,,
loyalty,admin,Loyalty,Loyalty,,,,
mac-name,admin,"Mac Address","Mac Address",,"Direccion Mac",,
main-help-link-desc,admin,"Click <a href=""/help"">here</a> to go to the main help page","Click <a href=""/help"">here</a> to go to the main help page",,"Haga clic en <a href=""/help"">aqui</a> para ir a la pagina principal de ayuda",,
make-active,admin,"Make active","Make active","Assurez actif","Hacer activo",,
make-inactive,admin,"Make inactive","Make inactive","Assurez inactive","Hacer inactiva",,
manage,admin,Manage,Manage,GÃ‡Â¸rer,Gestionar,,
manage-adjets-desc,admin,"Manage Adjets for this site","Manage Adjets for this site",,"Administrar Adjets para este lugar",,
manage|brand,admin,"Manage > Brand",,,,,
manage|engagement,admin,"Manage > Engagement",,,,,
manage|events,admin,"Manage > Events",,,,,
manage|guests,admin,"Manage > Guests",,,,,
manage|locations,admin,"Manage > Locations",,,,,
manage|mdu,admin,"Manage > MDU",,,,,
manage|packages,admin,"Manage > Packages",,,,,
manage|portals,admin,"Manage > Portals",,,,,
manage|sites,admin,"Manage > Sites",,,,,
manage|vouchers,admin,"Manage > Vouchers",,,,,
mapping,admin,Mapping,Mapping,,,,
maps,admin,Maps,Maps,,,,
mdu,admin,MDU,,,,,
meet-guests-desc,admin,"A selection of guests from your site","A selection of guests from your site",,"Una seleccion de invitados de su lugar de celebracion",,
meet-guests-help,admin,"The default shows the last guests on your Site. You can search for a guest by Mac address, IP address, email or name. Click on a face to see more information. If we have an image for the guest (from social) we will show the image, if we have an email, we will try to show a Gravitar image or we will show a Robot image based on the Mac address.","The default shows the last guests on your Site. You can search for a guest by Mac address, IP address, email or name. Click on a face to see more information. If we have an image for the guest (from social) we will show the image, if we have an email, we will try to show a Gravitar image or we will show a Robot image based on the Mac address.",,"Una seleccin de las personas que han accedido a su lugar que tiene datos sociales",,
meet-guests-title,admin,"Meet your guests","Meet your guests",,"Conoce a tus invitados",,
messages,admin,Messages,Messages,,,,
messages-description,admin,"Showing All Messages",,,,,
messages-title,admin,"All Messages",,,,,
microsoft-profile-image,admin,"Microsoft account image","Microsoft account image",,"Imagen cuenta de Microsoft",,
mins,admin,minutes,minutes,,acta,,
missing-page,admin,"Missing page","Missing page","Page manquante","pgina de Missing",,
mobile,admin,Mobile,Mobile,,,,
modules,admin,Modules,Modules,,,,
move,admin,Move,Move,,,,
must-have-gateway,admin,"To show guests on the site the site must have <a href=""/gateways/"">gateway</a>, please add one.","To show guests on the site the site must have <a href=""/gateways/"">gateway</a>, please add one.",,"Para mostrar los huespedes en el sitio el sitio debe tener puerta de <a href=""/gateways/"">entrada</a>, por favor, agrega uno.",,
my-estate,admin,"My Estate GB","My Estate en","French My Estate","Spanish My Estate","German My Estate","My Estate بالعربي"
my-estate-desc,admin,"Showing all sites in my estate","Showing all sites in my estate",,,,
n-a,admin,N/A,N/A,,,,
name,admin,Name,Name,Nom,Nombre,,
need-id-error,admin,"Sorry, we need an ID for that","Sorry, we need an ID for that",,"Lo sentimos, necesitamos un ID para que",,
networking,admin,Networking,Networking,,,,
networking|caching,admin,"Networking > Caching",,,,,
networking|gateway-settings,admin,"Networking > Gateway Settings",,,,,
networking|hardware,admin,"Networking > Hardware",,,,,
networking|ids,admin,"Networking > IDS",,,,,
new-site-desc,admin,"Creating a new Site","Creating a new Site",,,,
new-site-title,admin,"New Site","New Site",,,,
no,admin,No,No,,No,,
no-ip,admin,"There is no IP","There is no IP",,"No hay IP",,
no-permissions,admin,"There are no permissions.","There are no permissions.",,,,
no-permissions-for-category,admin,"There are no specific permissions for this category.","There are no specific permissions for this category.",,,,
no-portal-login-error,admin,"Please add a way for the guest to login","Please add a way for the guest to login",,,,
no-resite-for-site-message,admin,"There is no resite to show for :site just yet","There is no resite to show for :site just yet",,"No hay ingresos para demostrarlo :venu todavia",,
no-thumbnail,admin,"Thumbnail to be created","Thumbnail to be created",,"Miniatura que se creara",,
no-user,admin,"no user","no user",,"ningn usuario",,
no-widgets,admin,"There are no widgets assigned to this users dashboard and the default has not been set for this user level","There are no widgets assigned to this users dashboard and the default has not been set for this user level",,,,
none,admin,None,None,,,,
not-allowed,admin,"Not allowed","Not allowed",,"No permitido",,
not-known,admin,"Not known","Not known",,,,
note,admin,Note,Note,Remarque,Nota,,
note-create,admin,"Create Note","Create Note","CrÃ‡Â¸er Remarque","Crear Nota",,
note-create-desc,admin,"Create the notes for this site","Create the notes for this site","CrÃ‡Â¸ez les notes pour ce site","Crear las notas de este sitio",,
note-create-error,admin,"There has been an error creating the note","There has been an error creating the note","Il ya eu une erreur de crÃ‡Â¸ation de la note","Se ha producido un error al crear la nota",,
note-create-success,admin,"Added the note","Added the note","AjoutÃ‡Â¸ la note","Se agreg la nota",,
note-date-help,admin,"If you leave dates disabled then as soon as you save the note will show to all admin users with access. If enabled, you can choose the date to enable and disable the Note","If you leave dates disabled then as soon as you save the note will show to all admin users with access. If enabled, you can choose the date to enable and disable the Note","Si vous laissez dates dÃ‡Â¸sactivÃ‡Â¸s puis ds que vous enregistrez la note montrera  tous les utilisateurs d'administration avec accs . Si elle est activÃ‡Â¸e , vous pouvez choisir la date pour activer et dÃ‡Â¸sactiver la note","Si deja fechas deshabilitadas entonces tan pronto como se guarda la nota se mostrar a todos los usuarios administradores con acceso. Si est activado, se puede elegir la fecha para activar y desactivar la Nota",,
note-delete,admin,"Delete the note","Delete the note","Supprimer note","Eliminar la nota",,
note-delete-sure,admin,"Are you sure you want to delete the note ':note'?<br>NB. This cannot be undone and must be recreated if you need to re-use it!","Are you sure you want to delete the note ':note'?<br>NB. This cannot be undone and must be recreated if you need to re-use it!","?tes-vous sÃ‡Â¯r de vouloir supprimer la note ':note'<br> NB ? . Cela ne peut pas Ã‡Â¦tre annulÃ‡Â¸e et doit Ã‡Â¦tre recrÃ‡Â¸Ã‡Â¸ si vous avez besoin de rÃ‡Â¸- utiliser!","Seguro que quieres eliminar la nota ' : nota ' <br> NB ? . Esto no puede ser deshecha y debe ser recreado si necesita volver a usarlo!",,
note-desc,admin,"Manage the notes for this site","Manage the notes for this site","GÃ‡Â¸rer les notes pour ce site","Administrar las notas de este lugar",,
note-description-help,admin,"Add in a description to show on the note. Must be a minimum of 10 and a maximum of 300 characters","Add in a description to show on the note. Must be a minimum of 10 and a maximum of 300 characters","Ajouter une description  afficher sur la note. Doit Ã‡Â¦tre un minimum de 10 et un maximum de 300 caractres","Aadir una descripcin para mostrar en la nota. Debe haber un mnimo de 10 y un mximo de 300 caracteres",,
note-description-placeholder,admin,"e.g. AP3 is switched off until Tuesday 3rd December. Please check on the 4th.","e.g. AP3 is switched off until Tuesday 3rd December. Please check on the 4th.","Par exemple AP3 est Ã‡Â¸teint jusqu' mardi 3 DÃ‡Â¸cembre . Se il vous plaÃ‡Â©t vÃ‡Â¸rifier sur le 4me .","por ejemplo AP3 se apaga hasta el martes 03 de diciembre . Por favor verifique en el cuarto .",,
note-edit,admin,"Edit Note","Edit Note","Modifier la note","Editar nota",,
note-edit-desc,admin,"Create a new note to show on the Dashboard","Create a new note to show on the Dashboard","CrÃ‡Â¸er une nouvelle note  afficher sur le tableau de bord","Crear una nueva nota para mostrar en el cuadro de mandos",,
note-edit-success,admin,"Edited the note :note","Edited the note :note","EditÃ‡Â¸ la note :note","Editado la nota :note",,
note-type-help,admin,"Choose the type of note to show","Choose the type of note to show","Choisissez le type de note pour montrer","Elija el tipo de nota para mostrar",,
notes,admin,Notes,Notes,Remarques,Notas,,
nothing-id-error,admin,"Sorry, we have nothing with that ID","Sorry, we have nothing with that ID",,"Lo sentimos , no tenemos nada con ese ID",,
notice,admin,Notice,Notice,Avis,Aviso,,
ok,admin,OK,OK,,OK,,
on-off,admin,On/Off,On/Off,,,,
online-now,admin,"Online Now","Online Now","En ligne","En Lnea Ahora",,
online-now-connected,admin,"Vs connected","Vs connected",,,,
online-now-count-help,admin,"This is the number of guests active i.e. passing traffic against the number active DHCP leases i.e. connected. Click to see the online now page","This is the number of guests active i.e. passing traffic against the number active DHCP leases i.e. connected. Click to see the online now page",,"Nmero de personas en linea en este momento. Haga clic para ver la pagina en linea ahora",,
online-now-count-title,admin,"Number of guests active against the number active DHCP leases","Number of guests active against the number active DHCP leases",,"Numero de personas en linea ahora",,
online-now-desc,admin,"Select Online Now to view a list of guest users who currently have access to your WiFi portal","Select Online Now to view a list of guest users who currently have access to your WiFi portal","SÃ‡Â¸lectionnez maintenant en ligne pour afficher une liste des utilisateurs invitÃ‡Â¸s qui ont actuellement accs  votre portail WiFi","Seleccione En lnea ahora para ver una lista de los usuarios invitados que actualmente tienen acceso a su portal de WiFi",,
opening-description-help,admin,"This tells the guest the Portal is open. The default is 'This portal is open and accessible between' but you can add anything in as long as it's between 1 and 100 characters","This tells the guest the Portal is open. The default is 'This portal is open and accessible between' but you can add anything in as long as it's between 1 and 100 characters",,,,
opening-description-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
opening-override-content-desc,admin,"To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.","To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.",,,,
opening-title-help,admin,"This is the title of the widget. The default is 'opening - & - Closing times' but you can add anything in as long as it's between 1 and 50 characters","This is the title of the widget. The default is 'opening - & - Closing times' but you can add anything in as long as it's between 1 and 50 characters",,,,
opening-title-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
opening-to-help,admin,"This is the text added bettween the 2 times. The default is '- To -' but you can add anything in as long as it's between 1 and 20 characters","This is the text added bettween the 2 times. The default is '- To -' but you can add anything in as long as it's between 1 and 20 characters",,,,
opening-to-placeholder,admin,"Between 1 and 20 characters","Between 1 and 20 characters",,,,
options,admin,Options,Options,,,,
outdated-browser,admin,"<p class=""browserupgrade"">You are using an <strong>outdated</strong> browser. Please <a href=""http://browsehappy.com/"">upgrade your browser</a> to improve your experience.</p>","<p class=""browserupgrade"">You are using an <strong>outdated</strong> browser. Please <a href=""http://browsehappy.com/"">upgrade your browser</a> to improve your experience.</p>",,,,
override-content,admin,"Override content","Override content",,,,
override-content-desc,admin,"If the text is not to your liking please override it.","If the text is not to your liking please override it.",,,,
override-social-description-help,admin,"The Social login description default is 'Click your favourite social network below and login using your account' but you can choose anything for this widget description as long as it's between 1 and 100 characters, dont forget the multilingual!","The Social login description default is 'Click your favourite social network below and login using your account' but you can choose anything for this widget description as long as it's between 1 and 100 characters, dont forget the multilingual!",,,,
override-social-description-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
override-social-title-help,admin,"The Social title default is '- Social Login -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, dont forget the multilingual!","The Social title default is '- Social Login -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, dont forget the multilingual!",,,,
override-social-title-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
override-voucher-desc,admin,"To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.","To override any of the content text on the widget please fill in the form below and hit the save button.<br>You can also change any of the languages by hitting the correct tab.",,,,
override-voucher-desc-help,admin,"The Voucher description default is 'Enter your voucher code in the box below then hit login' but you can choose anything for this widget description as long as it's between 1 and 100 characters, dont forget the multilingual!","The Voucher description default is 'Enter your voucher code in the box below then hit login' but you can choose anything for this widget description as long as it's between 1 and 100 characters, dont forget the multilingual!",,,,
override-voucher-desc-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
override-voucher-placeholder-help,admin,"The Voucher description default is 'Please enter the voucher code' but you can choose anything for this widget placeholder as long as it's between 1 and 100 characters, dont forget the multilingual!","The Voucher description default is 'Please enter the voucher code' but you can choose anything for this widget placeholder as long as it's between 1 and 100 characters, dont forget the multilingual!",,,,
override-voucher-placeholder-placeholder,admin,"Between 1 and 100 characters","Between 1 and 100 characters",,,,
override-voucher-title,admin,"Override Voucher Content","Override Voucher Content",,,,
override-voucher-title-help,admin,"The Voucher title default is '- Voucher Login -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, dont forget the multilingual!","The Voucher title default is '- Voucher Login -' but you can choose anything for this widget title as long as it's between 1 and 50 characters, dont forget the multilingual!",,,,
override-voucher-title-placeholder,admin,"Between 1 and 50 characters","Between 1 and 50 characters",,,,
packages,admin,Packages,Packages,,,,
packetloss,admin,"Packet loss","Packet loss",,"Paquete Perdido",,
password,portal,Password,Password,,,,
password-change,admin,"Password Change","Password Change",,"Cambio De Contrasena",,
password-change-desc,admin,"fill in the form to reset your password","fill in the form to reset your password",,"rellene el formulario para restablecer su contraseÃ±a",,
